# Tiempo_dias,Posicion_AU,Velocidad_kms,a_Psi,rho_dot,I_Ni
5.561116672227782942e+01,5.709600626921859323e+00,-3.074643493201243416e+01,2.719814026252600240e-34,2.719814026252600240e-34,2.709814026252600493e-14
5.595873651429206319e+01,5.703427945777127306e+00,-3.075191197380924635e+01,-4.453703792441905194e-34,-4.453703792441905194e-34,4.443703792441905477e-14
5.630630630630630407e+01,5.697254164830010126e+00,-3.075740085907148469e+01,4.483023281506955311e-34,4.483023281506955311e-34,4.473023281506955760e-14
5.665387609832054494e+01,5.691079282016207053e+00,-3.076290161902099030e+01,-2.763105018371722827e-34,-2.763105018371722827e-34,2.753105018371723004e-14
5.700144589033477871e+01,5.684903295256082068e+00,-3.076841428529890621e+01,2.895303235345630891e-36,2.895303235345630891e-36,1.895303235345630838e-16
5.734901568234901248e+01,5.678726202454674521e+00,-3.077393888996568094e+01,2.710152780373297427e-34,2.710152780373297427e-34,2.700152780373297616e-14
5.769658547436324625e+01,5.672548001501699133e+00,-3.077947546550105429e+01,-4.349167056798199419e-34,-4.349167056798199419e-34,4.339167056798199835e-14
5.804415526637749423e+01,5.666368690271539776e+00,-3.078502404480408217e+01,4.324102622430257547e-34,4.324102622430257547e-34,4.314102622430257470e-14
5.839172505839172800e+01,5.660188266623254805e+00,-3.079058466119311177e+01,-2.612289681624298257e-34,-2.612289681624298257e-34,2.602289681624298512e-14
5.873929485040596177e+01,5.654006728400573500e+00,-3.079615734840579933e+01,-5.670823394925880241e-36,-5.670823394925880241e-36,4.670823394925879633e-16
5.908686464242019554e+01,5.647824073431899627e+00,-3.080174214059909588e+01,2.697749051425558780e-34,2.697749051425558780e-34,2.687749051425558938e-14
5.943443443443442931e+01,5.641640299530308766e+00,-3.080733907234926860e+01,-4.245412587981608149e-34,-4.245412587981608149e-34,4.235412587981608118e-14
5.978200422644867729e+01,5.635455404493549203e+00,-3.081294817865187241e+01,4.169169992065086365e-34,4.169169992065086365e-34,4.159169992065086643e-14
6.012957401846291106e+01,5.629269386104041928e+00,-3.081856949492177122e+01,-2.467074460294359039e-34,-2.467074460294359039e-34,2.457074460294359161e-14
6.047714381047714483e+01,5.623082242128879749e+00,-3.082420305699313090e+01,-1.373044383089816555e-35,-1.373044383089816555e-35,1.273044383089816581e-15
6.082471360249137859e+01,5.616893970319829066e+00,-3.082984890111941567e+01,2.682777770213857281e-34,2.682777770213857281e-34,2.672777770213857611e-14
6.117228339450561236e+01,5.610704568413329874e+00,-3.083550706397339880e+01,-4.142521509940978974e-34,-4.142521509940978974e-34,4.132521509940979233e-14
6.151985318651985324e+01,5.604514034130491318e+00,-3.084117758264714837e+01,4.018181966947405555e-34,4.018181966947405555e-34,4.008181966947405719e-14
6.186742297853408701e+01,5.598322365177098803e+00,-3.084686049465204505e+01,-2.327310244963364433e-34,-2.327310244963364433e-34,2.317310244963364566e-14
6.221499277054832078e+01,5.592129559243609549e+00,-3.085255583791876077e+01,-2.130325256158631316e-35,-2.130325256158631316e-35,2.030325256158631236e-15
